# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
     186.988      100.100      685.426     1020.402
     188.996      100.100      685.676     1020.652
     191.004      100.100      685.926     1020.902
     193.015       99.500      686.176     1021.152
     195.024      100.100      686.426     1021.402
     197.043      100.000      686.676     1021.652
     199.052       99.400      687.176     1022.152
     201.064      100.000      687.426     1022.402
     203.074      100.000      687.926     1022.902
     205.084       99.500      688.176     1023.152
     207.094      100.500      688.676     1023.652
     209.103       99.900      688.926     1023.902
     211.115      100.000      689.176     1024.152
     213.126       99.000      689.676     1024.652
     215.135       99.500      689.926     1024.902
     217.144      100.000      690.426     1025.402
     219.155       99.500      690.676     1025.652
     221.164      100.000      690.926     1025.902
     223.172       99.600      691.426     1026.402
     225.182       99.500      691.676     1026.652
     227.192       99.500      692.176     1027.152
     229.201       99.500      692.426     1027.402
     231.211      100.000      692.926     1027.902
     233.220      100.000      693.176     1028.152
     235.230      100.000      693.676     1028.652
     237.240       99.000      693.926     1028.902
     239.249      100.500      694.426     1029.402
     241.259       99.500      694.676     1029.652
     243.268      100.000      695.176     1030.152
     245.276      100.100      695.426     1030.402
     247.284      100.100      695.926     1030.902
     249.294      100.000      696.176     1031.152
     251.304      100.000      696.676     1031.652
     253.313      100.000      696.926     1031.902
     255.323       99.500      697.426     1032.402
     257.332      100.200      697.676     1032.652
     259.348       99.500      697.926     1032.902
     261.356      100.100      698.426     1033.402
     263.366      100.000      698.676     1033.652
     265.376      100.000      699.176     1034.152
     267.385      100.500      699.426     1034.402
     269.395      100.000      699.926     1034.902
     271.404       99.500      700.176     1035.152
     273.414      100.000      700.676     1035.652
     275.424      100.000      700.926     1035.902
     277.433      100.500      701.426     1036.402
     279.443       99.500      701.676     1036.652
     281.452      100.000      702.176     1037.152
     283.462      100.000      702.426     1037.402
     285.472      100.000      702.926     1037.902
     287.481      100.000      703.176     1038.152
     289.490      100.100      703.426     1038.402
     291.500      100.000      703.676     1038.652
     293.508      100.000      704.176     1039.152
     295.519      100.000      704.426     1039.402
     297.528       99.500      704.926     1039.902
     299.536      100.600      705.176     1040.152
     301.544       99.600      705.426     1040.402
     303.554      100.000      705.676     1040.652
     305.563      100.300      706.176     1041.152
     307.578      100.000      706.426     1041.402
     309.587      100.000      706.926     1041.902
     311.597      100.000      707.176     1042.152
     313.607      100.000      707.426     1042.402
     315.616       99.500      707.926     1042.902
     317.626       99.500      708.176     1043.152
     319.636       99.500      708.676     1043.652
     321.645      100.000      708.926     1043.902
     323.655      100.000      709.426     1044.402
     325.664       99.500      709.676     1044.652
     327.674      100.500      710.176     1045.152
     329.683       99.500      710.426     1045.402
     331.692      100.100      710.676     1045.652
     333.701      100.100      711.176     1046.152
     335.708       99.800      711.426     1046.402
     337.725      100.000      711.926     1046.902
     339.734       99.500      712.176     1047.152
     341.744       99.300      712.426     1047.402
     343.758       99.500      712.926     1047.902
     345.768      100.000      713.176     1048.152
     347.778       99.500      713.426     1048.402
     349.788      100.000      713.676     1048.652
     351.798      100.500      714.176     1049.152
     353.807       99.500      714.426     1049.402
     355.817      100.000      714.926     1049.902
     357.826      100.000      715.176     1050.152
     359.836       99.500      715.676     1050.652
     361.844       99.600      715.926     1050.902
     363.854      100.000      716.426     1051.402
     365.863       99.500      716.676     1051.652
     367.873       99.500      717.176     1052.152
     369.883       99.500      717.426     1052.402
     371.892      100.000      717.926     1052.902
     373.900       99.600      718.176     1053.152
     375.910      100.000      718.676     1053.652
     377.920      100.000      718.926     1053.902
     379.929      100.000      719.426     1054.402
     381.939      100.500      719.676     1054.652
     383.947       99.600      720.176     1055.152
     385.957      100.500      720.426     1055.402
     387.967      100.000      720.926     1055.902
     389.976       99.500      721.176     1056.152
     391.986      100.000      721.676     1056.652
     393.995      100.000      721.926     1056.902
     396.005      100.000      722.426     1057.402
     398.015      100.000      722.676     1057.652
     400.024      100.000      723.176     1058.152
     402.034      100.000      723.426     1058.402
     404.043       99.500      723.926     1058.902
     406.053      100.000      724.176     1059.152
     408.062      100.500      724.676     1059.652
     410.072       99.500      724.926     1059.902
     412.082      100.500      725.426     1060.402
     414.091      100.000      725.676     1060.652
     416.101      100.000      726.176     1061.152
     418.110      100.000      726.426     1061.402
     420.120       99.500      726.926     1061.902
     422.129      100.000      727.176     1062.152
     424.139      100.000      727.676     1062.652
     426.146      100.100      727.926     1062.902
     428.156       99.500      728.426     1063.402
     430.165      100.000      728.676     1063.652
     432.175       99.500      728.926     1063.902
     434.182       99.800      729.176     1064.152
     436.196      100.000      729.426     1064.402
     438.207       99.600      729.926     1064.902
     440.216       99.900      730.176     1065.152
     442.228      100.400      730.426     1065.402
     444.251       99.900      730.676     1065.652
     446.263       99.500      730.926     1065.902
     448.272       99.500      731.426     1066.402
     450.282      100.000      731.676     1066.652
     452.292      100.000      731.926     1066.902
     454.302      100.000      732.426     1067.402
     456.312      100.000      732.676     1067.652
     458.321      100.000      733.176     1068.152
     460.331      100.000      733.426     1068.402
     462.340      100.000      733.926     1068.902
     464.350      100.000      734.176     1069.152
     466.360      100.000      734.676     1069.652
     468.368       99.600      734.926     1069.902
     470.378      100.500      735.426     1070.402
     472.388      100.000      735.676     1070.652
     474.397       99.500      736.176     1071.152
     476.407      100.000      736.426     1071.402
     478.416      100.500      736.926     1071.902
     480.424       99.600      737.176     1072.152
     482.434       99.500      737.676     1072.652
     484.444      100.000      737.926     1072.902
     486.453       99.000      738.426     1073.402
     488.464       99.500      738.676     1073.652
     490.472      100.100      739.176     1074.152
     492.482      100.000      739.426     1074.402
     494.492      100.000      739.926     1074.902
     496.501      100.000      740.176     1075.152
     498.511      100.000      740.676     1075.652
     500.520      100.000      740.926     1075.902
     502.530      100.000      741.426     1076.402
     504.539      100.100      741.676     1076.652
     506.549       99.500      742.176     1077.152
     508.558       99.500      742.426     1077.402
     510.568       99.500      742.926     1077.902
     512.576       99.600      743.176     1078.152
     514.586       99.500      743.676     1078.652
     516.596       99.500      743.926     1078.902
     518.605      100.000      744.426     1079.402
     520.615      100.000      744.676     1079.652
     522.624       99.500      745.176     1080.152
     524.633       99.600      745.426     1080.402
     526.642       99.000      745.926     1080.902
     528.652       99.500      746.176     1081.152
     530.660       99.600      746.676     1081.652
     532.668      100.100      746.926     1081.902
     534.678      100.000      747.426     1082.402
     536.688      100.000      747.676     1082.652
     538.696       99.600      748.176     1083.152
     540.706      100.000      748.426     1083.402
     542.716      100.000      748.926     1083.902
     544.725      100.000      749.176     1084.152
     546.735      100.000      749.676     1084.652
     548.745      100.000      749.926     1084.902
     550.754      100.500      750.426     1085.402
     552.764       99.500      750.676     1085.652
     554.774      100.000      750.926     1085.902
     556.784       99.500      751.426     1086.402
     558.792      100.000      751.676     1086.652
     560.804      100.000      751.926     1086.902
     562.812       99.600      752.426     1087.402
     564.820      100.100      752.676     1087.652
     566.830      100.000      753.176     1088.152
     568.840       99.500      753.426     1088.402
     570.848      100.100      753.676     1088.652
     572.858      100.000      753.926     1088.902
     574.868       99.500      754.426     1089.402
     576.877      100.000      754.676     1089.652
     578.887       99.500      755.176     1090.152
     580.896      100.700      755.426     1090.402
     582.913       99.500      755.676     1090.652
     584.923      100.000      756.176     1091.152
     586.932      100.000      756.426     1091.402
     588.942      100.000      756.926     1091.902
     590.951      100.000      757.176     1092.152
     592.960      100.200      757.426     1092.402
     594.978       99.500      757.926     1092.902
     596.987      100.000      758.176     1093.152
     598.997      100.000      758.676     1093.652
     601.006      100.000      758.926     1093.902
     603.016      100.000      759.426     1094.402
     605.026      100.000      759.676     1094.652
     607.035       99.000      760.176     1095.152
     609.045       99.000      760.426     1095.402
     611.052      100.600      760.926     1095.902
     613.062       99.500      761.176     1096.152
     615.072       99.500      761.676     1096.652
     617.080       99.600      761.926     1096.902
     619.090       99.500      762.426     1097.402
     621.099       99.500      762.676     1097.652
     623.108       99.600      762.926     1097.902
     625.118      100.500      763.426     1098.402
     627.127       99.500      763.676     1098.652
     629.137      100.000      764.176     1099.152
     631.147       99.900      764.426     1099.402
     633.159      100.000      764.926     1099.902
     635.168       99.500      765.176     1100.152
     637.178      100.500      765.676     1100.652
     639.186       99.600      765.926     1100.902
     641.196      100.000      766.426     1101.402
     643.205       99.700      766.676     1101.652
     645.221      100.000      767.176     1102.152
     647.230      100.500      767.426     1102.402
     649.240      100.000      767.926     1102.902
     651.250      100.000      768.176     1103.152
     653.259       99.900      768.676     1103.652
     655.271      100.000      768.926     1103.902
     657.280      100.000      769.426     1104.402
     659.290       99.500      769.676     1104.652
     661.299      100.000      770.176     1105.152
     663.309      100.000      770.426     1105.402
     665.319      100.000      770.926     1105.902
     667.328      100.000      771.176     1106.152
     669.338      100.200      771.676     1106.652
     671.353       99.500      771.926     1106.902
     673.362      100.000      772.426     1107.402
     675.372      100.000      772.676     1107.652
     677.380      100.500      773.176     1108.152
     679.392       99.500      773.426     1108.402
     681.402      100.500      773.926     1108.902
     683.411      100.000      774.176     1109.152
     685.420       99.500      774.676     1109.652
     687.430      100.000      774.926     1109.902
     689.440      100.000      775.426     1110.402
     691.448      100.100      775.676     1110.652
     693.458      100.000      776.176     1111.152
     695.468      100.000      776.426     1111.402
     697.476      100.100      776.926     1111.902
     699.486      100.000      777.176     1112.152
     701.496       99.500      777.676     1112.652
     703.506      100.500      777.926     1112.902
     705.515      100.000      778.426     1113.402
     707.525      100.000      778.676     1113.652
     709.534      100.000      779.176     1114.152
     711.544      100.000      779.426     1114.402
     713.554       99.500      779.926     1114.902
     715.563      100.500      780.176     1115.152
     717.573       99.500      780.676     1115.652
     719.582      100.500      780.926     1115.902
     721.592      100.000      781.426     1116.402
     723.602       99.500      781.676     1116.652
     725.611       99.500      782.176     1117.152
     727.620       99.500      782.426     1117.402
     729.628       99.600      782.926     1117.902
     731.638       99.500      783.176     1118.152
     733.648      100.000      783.676     1118.652
     735.656      100.100      783.926     1118.902
     737.664       99.600      784.426     1119.402
     739.674      100.000      784.676     1119.652
     741.684      100.000      785.176     1120.152
     743.692      100.100      785.426     1120.402
     745.700       99.600      785.926     1120.902
     747.708      100.100      786.176     1121.152
     749.716      100.100      786.676     1121.652
     751.724       99.500      786.926     1121.902
     753.736       99.900      787.176     1122.152
     755.748      100.400      787.426     1122.402
     757.760      100.000      787.676     1122.652
     759.770       99.000      788.176     1123.152
     761.780      100.000      788.426     1123.402
     763.788      100.100      788.926     1123.902
     765.798      100.000      789.176     1124.152
     767.807      100.000      789.426     1124.402
     769.816       99.100      789.926     1124.902
     771.826      100.000      790.176     1125.152
     773.835      100.000      790.676     1125.652
     775.844      100.100      790.926     1125.902
     777.852       99.600      791.426     1126.402
     779.860      100.200      791.676     1126.652
     781.876       99.000      792.176     1127.152
     783.884       99.600      792.426     1127.402
     785.892       99.600      792.926     1127.902
     787.900       99.600      793.176     1128.152
     789.908      100.100      793.676     1128.652
     791.918       99.500      793.926     1128.902
     793.926      100.600      794.426     1129.402
     795.935       98.500      794.676     1129.652
     797.945      100.000      794.926     1129.902
     799.954       99.000      795.426     1130.402
     801.964       99.500      795.676     1130.652
     803.972       99.100      796.176     1131.152
     805.980       99.600      796.426     1131.402
     807.988       99.600      796.926     1131.902
     809.996       99.600      797.176     1132.152
     812.004      100.100      797.676     1132.652
     814.014       99.500      797.926     1132.902
     816.024      100.500      798.426     1133.402
     818.033       99.500      798.676     1133.652
     820.043       99.000      798.926     1133.902
     822.052       99.000      799.426     1134.402
     824.060       99.100      799.676     1134.652
     826.070      100.500      800.176     1135.152
     828.080      100.000      800.426     1135.402
     830.088       99.600      800.926     1135.902
     832.098      100.000      801.176     1136.152
     834.108      100.000      801.676     1136.652
     836.116       99.600      801.926     1136.902
     838.126      100.500      802.426     1137.402
     840.135       99.500      802.676     1137.652
     842.145      100.500      803.176     1138.152
     844.155       99.500      803.426     1138.402
     846.164      100.000      803.926     1138.902
     848.174      100.500      804.176     1139.152
     850.183       99.500      804.676     1139.652
     852.192      100.000      804.926     1139.902
     854.202       99.500      805.426     1140.402
     856.211       99.500      805.676     1140.652
     858.220      100.200      806.176     1141.152
     860.236       99.500      806.426     1141.402
     862.246      100.000      806.926     1141.902
     864.255      100.500      807.176     1142.152
     866.265       99.500      807.676     1142.652
     868.273       99.600      807.926     1142.902
     870.282      100.000      808.426     1143.402
     872.292       99.000      808.676     1143.652
     874.300       99.100      808.926     1143.902
     876.310       99.500      809.426     1144.402
     878.320       99.500      809.676     1144.652
     880.329      100.000      810.176     1145.152
     882.339      100.000      810.426     1145.402
     884.348       99.500      810.926     1145.902
     886.358      100.500      811.176     1146.152
     888.367       99.000      811.676     1146.652
     890.377      100.000      811.926     1146.902
     892.387       99.500      812.426     1147.402
     894.396       99.000      812.676     1147.652
     896.405       99.600      813.176     1148.152
     898.412       99.600      813.426     1148.402
     900.420       99.000      813.676     1148.652
     902.432       99.500      813.926     1148.902
     904.440      100.600      814.426     1149.402
     906.450       99.500      814.676     1149.652
     908.459      100.500      815.176     1150.152
     910.468       99.500      815.426     1150.402
     912.478       99.500      815.676     1150.652
     914.488       99.500      816.176     1151.152
     916.497      100.000      816.426     1151.402
     918.507      100.000      816.926     1151.902
     920.517       99.500      817.176     1152.152
     922.526      100.500      817.676     1152.652
     924.536       99.500      817.926     1152.902
     926.545      100.000      818.426     1153.402
     928.554      100.100      818.676     1153.652
     930.564      100.000      819.176     1154.152
     932.573      100.000      819.426     1154.402
     934.583      100.000      819.926     1154.902
     936.592      100.000      820.426     1155.402
     938.602      100.000      820.676     1155.652
     940.612      100.000      821.176     1156.152
     942.621      100.000      821.426     1156.402
     944.631       99.500      821.676     1156.652
     946.640       99.500      822.176     1157.152
     948.650       99.500      822.426     1157.402
     950.659       99.000      822.926     1157.902
     952.668       99.600      823.176     1158.152
     954.677       99.100      823.676     1158.652
     956.684       99.600      823.926     1158.902
     958.692      100.100      824.426     1159.402
     960.700      100.100      824.676     1159.652
     962.710      100.000      825.176     1160.152
     964.720      100.000      825.426     1160.402
     966.729      100.000      825.926     1160.902
     968.739      100.000      826.176     1161.152
     970.748       99.500      826.676     1161.652
     972.758      100.000      826.926     1161.902
     974.767      100.500      827.426     1162.402
     976.777      100.000      827.676     1162.652
     978.787      100.000      828.176     1163.152
     980.796       99.500      828.426     1163.402
     982.806      100.500      828.926     1163.902
     984.815      100.000      829.176     1164.152
     986.825       99.500      829.676     1164.652
     988.832      100.100      829.926     1164.902
     990.842      100.000      830.426     1165.402
     992.851       99.500      830.676     1165.652
     994.861      100.500      831.176     1166.152
     996.871      100.000      831.426     1166.402
     998.880      100.000      831.926     1166.902
    1000.890      100.000      832.176     1167.152
    1002.899      100.000      832.676     1167.652
    1004.909       99.500      832.926     1167.902
    1006.918       99.000      833.426     1168.402
    1008.928       99.500      833.863     1168.965
    1010.938       99.500      834.363     1169.465
    1012.947       99.500      834.613     1169.715
    1014.957      100.500      835.113     1170.215
    1016.966       99.500      835.363     1170.465
    1018.976      100.000      835.863     1170.965
    1020.985      100.000      836.113     1171.215
    1022.995      100.000      836.613     1171.715
    1025.004      100.000      836.863     1171.965
    1027.014      100.000      837.363     1172.465
    1029.024      100.000      837.613     1172.715
    1031.032      100.100      838.113     1173.215
    1033.040      100.100      838.363     1173.465
    1035.048       99.600      838.613     1173.715
    1037.059       99.500      839.113     1174.215
    1039.068      100.000      839.363     1174.465
    1041.078      100.000      839.863     1174.965
    1043.087      100.000      840.113     1175.215
    1045.097       99.500      840.363     1175.465
    1047.104      100.600      840.863     1175.965
    1049.115      100.000      841.113     1176.215
    1051.124       99.500      841.613     1176.715
    1053.132      100.100      841.863     1176.965
    1055.140       99.600      842.113     1177.215
    1057.148      100.100      842.613     1177.715
    1059.156       99.600      842.863     1177.965
    1061.166      100.000      843.113     1178.215
    1063.175      100.000      843.613     1178.715
    1065.184      100.100      843.863     1178.965
    1067.192      100.100      844.363     1179.465
    1069.202      100.000      844.613     1179.715
    1071.211       99.500      845.113     1180.215
    1073.221      100.500      845.363     1180.465
    1075.230       99.600      845.863     1180.965
    1077.239      100.000      846.113     1181.215
    1079.249       99.500      846.613     1181.715
    1081.259       97.100      846.863     1181.965
    1083.280       99.700      847.113     1182.215
    1085.291       99.500      847.363     1182.465
    1087.300       99.600      847.863     1182.965
    1089.308       99.100      848.113     1183.215
    1091.318       99.500      848.613     1183.715
    1093.326       98.800      848.863     1183.965
    1095.340       98.900      849.113     1184.215
    1097.352       99.500      849.613     1184.715
    1099.360      100.100      849.863     1184.965
    1101.370      100.000      850.113     1185.215
    1103.380      100.000      850.613     1185.715
    1105.388      100.100      850.863     1185.965
    1107.398      100.500      851.113     1186.215
    1109.408       99.500      851.613     1186.715
    1111.416      100.100      851.863     1186.965
    1113.424       99.900      852.113     1187.215
    1115.436      100.400      852.613     1187.715
    1117.451       99.500      852.863     1187.965
    1119.460      100.000      853.113     1188.215
    1121.468      100.100      853.363     1188.465
    1123.476      100.600      853.863     1188.965
    1125.487       99.500      854.113     1189.215
    1127.496      100.000      854.613     1189.715
    1129.506      100.000      854.863     1189.965
    1131.515      100.000      855.363     1190.465
    1133.525      100.000      855.613     1190.715
    1135.532      100.100      856.113     1191.215
    1137.542      100.000      856.363     1191.465
    1139.551       99.900      856.863     1191.965
    1141.572      100.000      857.113     1192.215
    1143.583       99.900      857.363     1192.465
    1145.595       99.900      857.613     1192.715
    1147.608      100.400      857.863     1192.965
    1149.620       99.900      858.363     1193.465
    1151.632       99.500      858.613     1193.715
    1153.640      100.100      858.863     1193.965
    1155.648       99.600      859.113     1194.215
    1157.658      100.500      859.613     1194.715
    1159.668      100.000      859.863     1194.965
    1161.676       99.600      860.363     1195.465
    1163.686       93.100      860.613     1195.715
    1165.695       99.500      860.863     1195.965
    1167.704      100.000      861.363     1196.465
    1169.715      100.000      861.613     1196.715
    1171.724      100.000      862.113     1197.215
    1173.734      100.000      862.363     1197.465
    1175.743       99.500      862.863     1197.965
    1177.752      100.500      863.113     1198.215
    1179.763       99.500      863.363     1198.465
    1181.773      100.000      863.863     1198.965
    1183.782      100.000      864.113     1199.215
    1185.792      100.000      864.613     1199.715
    1187.801       99.800      864.863     1199.965
    1189.816       99.900      865.113     1200.215
    1191.828       99.500      865.613     1200.715
    1193.836      100.000      865.863     1200.965
    1195.847      100.000      866.113     1201.215
    1197.856      100.000      866.613     1201.715
    1199.866      100.000      866.863     1201.965
    1201.876       99.500      867.113     1202.215
    1203.884      100.600      867.613     1202.715
    1205.892       99.600      867.863     1202.965
    1207.902      100.000      868.363     1203.465
    1209.912       99.500      868.613     1203.715
    1211.921      100.000      868.863     1203.965
    1213.931       99.500      869.363     1204.465
    1215.940       99.500      869.613     1204.715
    1217.948      100.100      870.113     1205.215
    1219.956       99.700      870.363     1205.465
    1221.972       99.600      870.613     1205.715
    1223.980      100.100      871.113     1206.215
    1225.990       99.900      871.363     1206.465
    1228.003      100.500      871.613     1206.715
    1230.013      100.000      871.863     1206.965
    1232.023      100.000      872.113     1207.215
    1234.032       99.700      872.613     1207.715
    1236.048       99.500      872.863     1207.965
    1238.060      100.300      873.113     1208.215
    1240.084      100.300      873.363     1208.465
    1242.099      100.000      873.613     1208.715
    1244.108       99.900      873.863     1208.965
    1246.131       99.800      874.113     1209.215
    1248.144      100.100      874.113     1209.215
    1250.160       99.800      874.363     1209.465
    1252.175       99.500      874.613     1209.715
    1254.184      100.000      875.113     1210.215
    1256.192      100.100      875.363     1210.465
    1258.213      100.400      875.613     1210.715
    1260.224       99.500      875.863     1210.965
    1262.232       99.800      876.113     1211.215
    1264.248      100.100      876.363     1211.465
    1266.264       99.700      876.613     1211.715
    1268.283       99.600      876.613     1211.715
    1270.300       99.900      876.863     1211.965
    1272.323       99.300      876.863     1211.965
    1274.336       99.200      877.113     1212.215
    1276.352       99.700      877.363     1212.465
    1278.368       99.000      877.363     1212.465
    1280.388       99.400      877.613     1212.715
    1282.411       99.800      877.863     1212.965
    1284.424       99.700      878.113     1213.215
    1286.440       99.800      878.363     1213.465
    1288.455       99.100      878.363     1213.465
    1290.472       99.600      878.613     1213.715
    1292.488      100.100      878.863     1213.965
    1294.508       99.400      879.113     1214.215
    1296.521      100.400      879.363     1214.465
    1298.544      100.100      879.363     1214.465
    1300.560       99.400      879.613     1214.715
    1302.572       99.400      879.863     1214.965
    1304.584       99.500      880.113     1215.215
    1306.595       99.900      880.113     1215.215
    1308.628       99.800      880.363     1215.465
    1310.643       99.300      880.613     1215.715
    1312.657      100.500      880.863     1215.965
    1314.667       99.900      881.113     1216.215
    1316.680      100.000      881.363     1216.465
    1318.688      100.000      881.863     1216.965
    1320.699       99.800      882.113     1217.215
    1322.712      100.400      882.363     1217.465
    1324.724       99.200      882.613     1217.715
    1326.748      100.000      882.863     1217.965
    1328.758       98.800      882.863     1217.965
    1330.772       99.300      882.863     1217.965
    1332.808       99.900      883.113     1218.215
    1334.820       99.400      883.363     1218.465
    1336.832       99.700      883.613     1218.715
    1338.848       99.700      883.613     1218.715
    1340.864       99.900      883.613     1218.715
    1342.887       99.600      883.863     1218.965
    1344.904       99.300      884.113     1219.215
    1346.928      100.000      884.113     1219.215
    1348.948       98.900      884.363     1219.465
    1350.960       99.500      884.613     1219.715
    1352.971       99.600      884.863     1219.965
    1354.988       98.800      885.113     1220.215
    1357.012       99.500      885.363     1220.465
    1359.023      100.400      885.613     1220.715
    1361.035       99.900      885.863     1220.965
    1363.047      100.100      885.863     1220.965
    1365.065       99.500      886.113     1221.215
    1367.084      100.200      886.113     1221.215
    1369.120       99.800      886.363     1221.465
    1371.135       98.800      886.363     1221.465
    1373.151       99.700      886.613     1221.715
    1375.164      100.000      886.613     1221.715
    1377.187       99.600      886.863     1221.965
    1379.204       99.900      887.113     1222.215
    1381.216      100.000      887.363     1222.465
    1383.236       99.600      887.613     1222.715
    1385.244      100.100      887.863     1222.965
    1387.253       98.800      887.863     1222.965
    1389.268      100.000      888.113     1223.215
    1391.279      100.000      888.363     1223.465
    1393.288       99.500      888.863     1223.965
    1395.299       99.500      889.113     1224.215
    1397.308       99.900      889.363     1224.465
    1399.321      100.200      889.363     1224.465
    1401.348       99.500      889.613     1224.715
    1403.356       99.600      889.863     1224.965
    1405.374       99.800      890.113     1225.215
    1407.388      100.000      890.363     1225.465
    1409.399      100.000      890.613     1225.715
    1411.408      100.100      890.863     1225.965
    1413.418      100.000      891.113     1226.215
    1415.436       99.900      891.363     1226.465
    1417.451       99.300      891.613     1226.715
    1419.475       99.900      891.863     1226.965
    1421.496       99.700      891.863     1226.965
    1423.512      100.100      892.113     1227.215
    1425.531       99.700      892.113     1227.215
    1427.556       99.200      892.363     1227.465
    1429.575       99.400      892.363     1227.465
    1431.596       99.300      892.363     1227.465
    1433.620      100.000      892.613     1227.715
    1435.640      100.200      892.613     1227.715
    1437.659       99.900      892.863     1227.965
    1439.680      100.000      892.863     1227.965
    1441.700      100.100      893.113     1228.215
    1443.716       99.700      893.113     1228.215
    1445.735      100.100      893.363     1228.465
    1447.752       99.000      893.363     1228.465
    1449.772       99.500      893.613     1228.715
    1451.792      100.200      893.613     1228.715
    1453.819       99.900      893.613     1228.715
    1455.840      100.000      893.863     1228.965
    1457.862      100.400      893.863     1228.965
    1459.884       99.700      894.113     1229.215
    1461.900       99.700      894.113     1229.215
    1463.916       99.600      894.363     1229.465
    1465.932       99.700      894.363     1229.465
    1467.951       99.000      894.613     1229.715
    1469.968       99.500      894.613     1229.715
    1471.988       99.500      894.863     1229.965
    1474.008       99.500      894.863     1229.965
    1476.029       99.700      895.113     1230.215
    1478.044       99.900      895.113     1230.215
    1480.069       99.200      895.363     1230.465
    1482.095      100.100      895.363     1230.465
    1484.113      100.100      895.363     1230.465
    1486.132      100.100      895.613     1230.715
    1488.161       99.300      895.613     1230.715
    1490.184       99.900      895.863     1230.965
    1492.208       99.800      895.863     1230.965
    1494.240       98.800      896.113     1231.215
    1496.254       99.400      896.363     1231.465
    1498.276       99.900      896.363     1231.465
    1500.288       98.900      896.613     1231.715
    1502.300       99.000      896.863     1231.965
    1504.320       99.300      896.863     1231.965
    1506.336       98.900      897.113     1232.215
    1508.371       99.500      897.113     1232.215
    1510.399       99.300      897.363     1232.465
    1512.412      100.100      897.613     1232.715
    1514.428       99.700      897.613     1232.715
    1516.444       99.700      897.863     1232.965
    1518.460       99.600      897.863     1232.965
    1520.476       99.500      898.113     1233.215
    1522.488       98.900      898.363     1233.465
    1524.500      100.100      898.613     1233.715
    1526.516       99.800      898.863     1233.965
    1528.532      100.000      899.113     1234.215
